chapter_file,chapter_number,chapter_id,global_sentence_id,cross_chapter,source_file_path,sentence_id,sentence_id_numeric,sentence_id_prefixed,sentence_num,first_words,pronoun_text,pronoun_token_idx,pronoun_grammatical_role,pronoun_thematic_role,pronoun_givenness,pronoun_coref_ids,pronoun_coref_base_num,pronoun_coref_occurrence_num,pronoun_coreference_link,pronoun_coref_link_base_num,pronoun_coref_link_occurrence_num,pronoun_coreference_type,pronoun_inanimate_coreference_link,pronoun_inanimate_coref_link_base_num,pronoun_inanimate_coref_link_occurrence_num,pronoun_inanimate_coreference_type,pronoun_most_recent_antecedent_text,pronoun_most_recent_antecedent_distance,pronoun_first_antecedent_text,pronoun_first_antecedent_distance,pronoun_antecedent_choice,num_clause_mates,clause_mate_text,clause_mate_coref_id,clause_mate_coref_base_num,clause_mate_coref_occurrence_num,clause_mate_start_idx,clause_mate_end_idx,clause_mate_grammatical_role,clause_mate_thematic_role,clause_mate_coreference_type,clause_mate_animacy,clause_mate_givenness,clause_mate_grammatical_role_clean,clause_mate_thematic_role_clean,clause_mate_coreference_type_clean,pronoun_coreference_type_clean,pronoun_grammatical_role_clean,pronoun_thematic_role_clean
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,er,21-7,21,7,13,13,Subj,Proto-Ag,PersPron[21],anim,bekannt,Subj,Proto-Ag,PersPron,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,die Lifthütte,96-1,96,1,17,18,dirObj[22],Proto-Pat[22],defNP[96],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,hat,21-8,21,8,20,20,Subj,Proto-Ag,zero[21],anim,bekannt,Subj,Proto-Ag,zero,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,jeden Morgen,104-1,104,1,22,23,Oblique[23],*[23],Quant[104],inanim,neu,Oblique,*,Quant,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,den Radiator,191-1,191,1,25,26,dirObj[24],Proto-Pat[24],defNP[191],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,das Radio,164-1,164,1,29,30,dirObj[25],Proto-Pat[25],defNP[164],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,aufgedreht,21-9,21,9,31,31,Subj,Proto-Ag,zero[21],anim,bekannt,Subj,Proto-Ag,zero,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,ihn,21-6,21,6,3,3,dirObj,Proto-Pat,PersPron[21],anim,bekannt,dirObj,Proto-Pat,PersPron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,der Wörgötter,66-2,66,2,4,5,Subj[20],Proto-Ag[20],EN[66],anim,bekannt,Subj,Proto-Ag,EN,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,die Dämmerung,94-1,94,1,7,8,Oblique[21],Recipient[21],defNP[94],inanim,neu,Oblique,Recipient,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,die Lifthütte,96-1,96,1,17,18,dirObj[22],Proto-Pat[22],defNP[96],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,hat,21-8,21,8,20,20,Subj,Proto-Ag,zero[21],anim,bekannt,Subj,Proto-Ag,zero,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,jeden Morgen,104-1,104,1,22,23,Oblique[23],*[23],Quant[104],inanim,neu,Oblique,*,Quant,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,den Radiator,191-1,191,1,25,26,dirObj[24],Proto-Pat[24],defNP[191],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,das Radio,164-1,164,1,29,30,dirObj[25],Proto-Pat[25],defNP[164],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,er,13,Subj,Proto-Ag,bekannt,['21-7'],21.0,,*->21-7,21.0,7.0,PersPron[21],,,,,ihn,10,Der Lift Lois,83,6,9,aufgedreht,21-9,21,9,31,31,Subj,Proto-Ag,zero[21],anim,bekannt,Subj,Proto-Ag,zero,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_27,False,data\input\gotofiles\later\1.tsv,27,27,sent_27,27,Er_dreht_jetzt,Er,1,Subj,Proto-Ag,bekannt,['21-11'],21.0,,*->21-11,21.0,11.0,PersPron[21],,,,,der Lift Lois,11,Der Lift Lois,131,10,2,jeden Morgen,97-1,97,1,5,6,Oblique[27],*[27],Quant[97],inanim,neu,Oblique,*,Quant,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_27,False,data\input\gotofiles\later\1.tsv,27,27,sent_27,27,Er_dreht_jetzt,Er,1,Subj,Proto-Ag,bekannt,['21-11'],21.0,,*->21-11,21.0,11.0,PersPron[21],,,,,der Lift Lois,11,Der Lift Lois,131,10,2,das Sendersuchrad,150-1,150,1,7,8,dirObj[28],Proto-Pat[28],defNP[150],inanim,neu,dirObj,Proto-Pat,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_31,False,data\input\gotofiles\later\1.tsv,31,31,sent_31,31,Weil_den_hat,den,2,dirObj,Proto-Pat,bekannt,['114-2'],,,,,,,*->114-2,114.0,2.0,D-Pron[114],der kleine Finger vom Lift Lois,14,der kleine Finger vom Lift Lois,14,1,3,er,21-13,21,13,4,4,Subj,Proto-Ag,PersPron[21],anim,bekannt,Subj,Proto-Ag,PersPron,,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_31,False,data\input\gotofiles\later\1.tsv,31,31,sent_31,31,Weil_den_hat,den,2,dirObj,Proto-Pat,bekannt,['114-2'],,,,,,,*->114-2,114.0,2.0,D-Pron[114],der kleine Finger vom Lift Lois,14,der kleine Finger vom Lift Lois,14,1,3,sich,55-1,55,1,5,5,indirObj,Proto-Pat,Reflx[55],anim,neu,indirObj,Proto-Pat,Reflx,,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_31,False,data\input\gotofiles\later\1.tsv,31,31,sent_31,31,Weil_den_hat,den,2,dirObj,Proto-Pat,bekannt,['114-2'],,,,,,,*->114-2,114.0,2.0,D-Pron[114],der kleine Finger vom Lift Lois,14,der kleine Finger vom Lift Lois,14,1,3,der Kreissäge,173-1,173,1,9,10,Oblique[33],*[33],defNP[173],inanim,neu,Oblique,*,defNP,,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_31,False,data\input\gotofiles\later\1.tsv,31,31,sent_31,31,Weil_den_hat,er,4,Subj,Proto-Ag,bekannt,['21-13'],21.0,,*->21-13,21.0,13.0,PersPron[21],,,,,vom Lift Lois,13,Der Lift Lois,199,12,3,den,114-2,114,2,2,2,dirObj,Proto-Pat,D-Pron[114],inanim,bekannt,dirObj,Proto-Pat,D-Pron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_31,False,data\input\gotofiles\later\1.tsv,31,31,sent_31,31,Weil_den_hat,er,4,Subj,Proto-Ag,bekannt,['21-13'],21.0,,*->21-13,21.0,13.0,PersPron[21],,,,,vom Lift Lois,13,Der Lift Lois,199,12,3,sich,55-1,55,1,5,5,indirObj,Proto-Pat,Reflx[55],anim,neu,indirObj,Proto-Pat,Reflx,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_31,False,data\input\gotofiles\later\1.tsv,31,31,sent_31,31,Weil_den_hat,er,4,Subj,Proto-Ag,bekannt,['21-13'],21.0,,*->21-13,21.0,13.0,PersPron[21],,,,,vom Lift Lois,13,Der Lift Lois,199,12,3,der Kreissäge,173-1,173,1,9,10,Oblique[33],*[33],defNP[173],inanim,neu,Oblique,*,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_32,False,data\input\gotofiles\later\1.tsv,32,32,sent_32,32,Dann_ist_er,er,3,Subj,Proto-Ag,bekannt,['21-14'],21.0,,*->21-14,21.0,14.0,PersPron[21],,,,,er,11,Der Lift Lois,210,13,2,seinem,21-15,21,15,6,6,indirObj[34],Proto-Pat[34],PossPron[21]|PossPron[50],anim,bekannt,indirObj,Proto-Pat,PossPron|PossPron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_32,False,data\input\gotofiles\later\1.tsv,32,32,sent_32,32,Dann_ist_er,er,3,Subj,Proto-Ag,bekannt,['21-14'],21.0,,*->21-14,21.0,14.0,PersPron[21],,,,,er,11,Der Lift Lois,210,13,2,seinem Sender,167-1,167,1,6,7,indirObj[34],Proto-Pat[34],PossPron[21]|PossPron[50],anim,neu,indirObj,Proto-Pat,PossPron|PossPron,PersPron,Subj,Proto-Ag
